id,trial,rcond,cond,round,arm,out,block
2,2,ran,Random-Structure-Random,8,5,4.957194052738,1
2,3,ran,Random-Structure-Random,8,6,35.3774727702639,1
2,4,ran,Random-Structure-Random,8,2,30.1198947118671,1
2,5,ran,Random-Structure-Random,8,3,40.9060461733392,1
2,6,ran,Random-Structure-Random,8,3,41.1082346582646,1
2,7,ran,Random-Structure-Random,8,3,40.8763042943243,1
2,8,ran,Random-Structure-Random,8,3,40.2015412632011,1
2,9,ran,Random-Structure-Random,8,3,40.7130793563879,1
2,10,ran,Random-Structure-Random,8,3,40.7669294971584,1
2,1,ran,Random-Structure-Random,9,1,17.5367693083092,1
2,2,ran,Random-Structure-Random,9,2,40.1545599366646,1
2,3,ran,Random-Structure-Random,9,3,45.937885240445,1
2,4,ran,Random-Structure-Random,9,3,46.1267730684657,1
2,5,ran,Random-Structure-Random,9,3,45.9180316872773,1
2,6,ran,Random-Structure-Random,9,3,45.6530756600408,1
2,7,ran,Random-Structure-Random,9,3,45.7225740672035,1
2,8,ran,Random-Structure-Random,9,3,45.7642040606058,1
2,9,ran,Random-Structure-Random,9,3,45.5694195910908,1
2,10,ran,Random-Structure-Random,9,3,45.796353189729,1
2,1,ran,Random-Structure-Random,10,8,28.7719804359274,1
2,2,ran,Random-Structure-Random,10,7,40.3353544926126,1
2,3,ran,Random-Structure-Random,10,6,45.9536330738601,1
2,4,ran,Random-Structure-Random,10,6,45.2362888038345,1
2,5,ran,Random-Structure-Random,10,6,46.1519453693848,1
2,6,ran,Random-Structure-Random,10,6,45.7593323058517,1
2,7,ran,Random-Structure-Random,10,6,45.0862740408568,1
2,8,ran,Random-Structure-Random,10,6,45.2821695357234,1
2,9,ran,Random-Structure-Random,10,6,45.8363561647705,1
2,10,ran,Random-Structure-Random,10,6,45.5158617088214,1
2,1,pos,Random-Structure-Random,11,2,11.8803836524804,2
2,2,pos,Random-Structure-Random,11,8,46.8962530885164,2
2,3,pos,Random-Structure-Random,11,8,46.7600338181938,2
2,4,pos,Random-Structure-Random,11,8,47.0133484228189,2
2,5,pos,Random-Structure-Random,11,8,46.920449398749,2
2,6,pos,Random-Structure-Random,11,8,47.0403590479334,2
2,7,pos,Random-Structure-Random,11,8,47.0987737527885,2
2,8,pos,Random-Structure-Random,11,8,47.4457597777042,2
2,9,pos,Random-Structure-Random,11,8,46.9743575973094,2
2,10,pos,Random-Structure-Random,11,8,47.4888290153814,2
2,1,neg,Random-Structure-Random,12,6,17.0266522222146,2
2,2,neg,Random-Structure-Random,12,5,21.2274072134514,2
2,3,neg,Random-Structure-Random,12,4,26.6950192537039,2
2,4,neg,Random-Structure-Random,12,3,31.8936643737315,2
2,5,neg,Random-Structure-Random,12,2,37.8840526670957,2
2,6,neg,Random-Structure-Random,12,1,42.9670449996333,2
